,day,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin,china_ks,confirm_ks,death_ks,die_ks,health_ks,hospit_ks,infect_ks,lockdown_ks,mask_ks,outbreak_ks,pandem_ks,patient_ks,posit_ks,record_ks,report_ks,spread_ks,studi_ks,test_ks,vaccin_ks
0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3379416957670197,1.58077219078208,1.1217589926171536,0.558793697489032,-0.03659372476967633,0.021598010723019614,0.0,0.0,0.0,0.0,0.0,0.2060501951730936,1.1613698095718867,0.8951688155360623,0.1848614945009787,0.18598822713805016,0.4062618210249343,0.44257314697053307,0.0
1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.4091464350121725,1.1924617246140592,0.9009478748440456,0.8648985257210037,-0.057698208460097274,-0.0093962490266518,0.0,0.0,0.0,0.0,0.0,0.26550337668653434,1.267751123873592,0.8530468336146025,0.4416707433920881,0.1468236278321176,0.5361904665414234,0.398515589494495,0.0
2,3,1,1,2,2,0,0,0,0,0,0,0,0,3,3,0,0,3,2,0,0.4142560448767849,0.8931888544891593,0.6980919047081369,1.0092270163950041,-0.0064103325944973935,-0.008883844476269043,0.0,0.0,0.0,0.0,0.0,0.2750129246566796,1.202275333812683,0.8377108798868574,0.5643454775586385,0.11574847132508878,0.6354429740377835,0.3379099493115751,0.0
3,4,1,0,1,3,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0.3837356068242998,0.6605315176018655,0.5346138760438064,1.056612161239438,0.07255780887703919,0.008730973025911694,0.0,0.0,0.0,0.0,0.0,0.2574962899717428,1.1219822014309186,0.8361423120202519,0.6616041671898335,0.11098006928574984,0.6972285102368042,0.2606646122497324,0.0
4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33593742014407074,0.4789976854918905,0.4086873416019995,1.0234352384197924,0.1525308290899378,0.032532040248256185,0.0,0.0,0.0,0.0,0.0,0.2266611431675921,1.039743639442028,0.8434136227153125,0.7299871034782403,0.1251374365757084,0.7039096884758081,0.18818372345938614,0.0
5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2817095183542981,0.33742049599471324,0.3129349245518049,0.9584176891144592,0.2202787573962884,0.05596429787306538,0.0,0.0,0.0,0.0,0.0,0.19057509904097347,0.9583184162865128,0.8544217600101192,0.7902013982126932,0.14778646484996166,0.6877423449878238,0.133718048590384,0.0
6,7,0,1,0,1,0,0,0,0,0,0,0,0,2,3,3,0,2,0,0,0.2272746982020455,0.22748974074665296,0.2400402876246592,0.8799695594431132,0.27084220188007524,0.07572139704505366,0.0,0.0,-0.02150281709827768,0.0,0.0,0.1538601073221318,0.8837585523686593,0.8601207418741739,0.8391867240884133,0.1711779336826671,0.659161212466412,0.09697546326279616,0.0
7,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.17602053236699894,0.14288407925879276,0.1630667788806056,0.7959515726495648,0.3037881053655849,0.09053855730908916,0.0,0.0,-0.02920576186070958,0.0,0.0,0.11903992594386745,0.8415538889271856,0.8545450751595138,0.8505053736856594,0.1907900269553696,0.6222808303240643,0.07396887644222473,0.0
8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1296094846577524,0.07873559263556795,0.11319543489101447,0.7100861684588183,0.3208669823317441,0.10030174514459987,0.0,0.0,-0.02580529001375384,0.0,0.0,0.087367521061358,0.8184212535667839,0.8353773322561892,0.8566757696103715,0.20455181749367773,0.5792333165854252,0.0605097522786413,0.0
9,10,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.08866429302774992,0.031292154492136286,0.08358476972661111,0.6055212310141191,0.3246601493835292,0.10547343188174324,0.0,0.0,-0.015131978445567391,0.0,0.0,0.059331660019528665,0.8029732517998809,0.8028918049936355,0.8347222615318379,0.2119580553199364,0.5315648585637666,0.053247626108018316,0.0
