,day,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin,china_ks,confirm_ks,death_ks,die_ks,health_ks,hospit_ks,infect_ks,lockdown_ks,mask_ks,outbreak_ks,pandem_ks,patient_ks,posit_ks,record_ks,report_ks,spread_ks,studi_ks,test_ks,vaccin_ks
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24554484842872434,-0.058191735492695885,0.3049889722330071,1.3729133976269885,0.28094574828808005,0.0,0.0,0.0,-0.011663980454365279,0.0,0.0,0.0,0.8421909367605412,-0.13349534310628544,0.5277979782192798,-0.2945538259290253,0.0,0.0,0.0
1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,-0.01530436494266779,-0.048301959433445486,0.4480195798608807,1.1130987358773996,0.22683792773051306,0.0,0.0,0.0,-0.008329546079541115,0.0,0.0,0.0,0.8817935372564453,-0.04610197506491272,0.6371567228338129,-0.09220033173448236,0.0,0.01230978095681918,0.0
2,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.14853550269486832,0.002473511881771549,0.5063627936274024,0.8552081909640268,0.21672569421747895,0.0,0.0,0.0,-0.01136478432164872,0.0,0.0,0.0,0.8750869071742242,0.0415579707991912,0.7470733823380873,0.09612973384121168,0.0,-0.008014772734025937,0.0
3,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2539097300199528,0.0638268358511278,0.6145594543238985,0.6398070785306342,0.22349138472245586,0.0,0.0,0.0,0.004493289662025533,0.0,0.0,0.0,0.8237294124821978,0.10043234833727116,0.8290244987425915,0.21782021340584287,0.0,-0.019237737175738,0.0
4,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.31305694237682635,0.11999878884168198,0.7631869201073274,0.4884479025457325,0.23284807928226894,0.0,0.0,0.0,0.03529485051355579,0.0,0.0,0.0,0.7591927012668381,0.14074903584662082,0.8731910492314626,0.29733319524585483,0.0,-0.015843802234818245,0.0
5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3379114423612001,0.16431445952322304,0.9180881408122898,0.3695388959016966,0.2383613451620217,-0.020887824558670786,0.0,0.0,0.0722254056485461,0.0,0.0,0.0,0.6914808359756133,0.1735244277724553,0.8596659096953203,0.3592918003108451,0.0,-0.002063439658621047,0.0
6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3170086970947654,0.1951208048350217,1.0525839412590443,0.27833621960868304,0.2379093885346633,-0.029744546609532338,0.0,0.0,0.10827318728545347,0.0,0.0,0.0,0.6021765366661845,0.2003221983783102,0.7627480699298969,0.4083784976324069,-0.02150281709827768,0.016765639477687395,0.0
7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.2934942266944768,0.21324954805649526,1.1522444155970486,0.1937809792330593,0.18930751316943506,-0.02706918671668522,0.0,0.0,0.13924146840062634,0.0,0.0,0.0,0.5276863844077497,0.17835350296521554,0.6951840116648547,0.4443115188526296,-0.092523757463624,0.036560158279812884,0.0
8,9,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.2705157947228068,0.2205652371871432,1.1921454824481592,0.15078961830794535,0.16442565201366074,-0.0163683308054363,0.0,0.0,0.16320443728442616,0.0,0.0,0.0,0.4659610549862395,0.17804895982293126,0.6322701396737825,0.4665685987091256,-0.1295199320531405,0.05476848766389343,0.0
9,10,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0.19182101575403648,0.21918671750178514,1.1889602953804324,0.16241392056500706,0.1379666990064948,-0.0012292940778753092,0.0,0.0,0.17973360517090936,0.0,0.0,0.0,0.41372955068694056,0.19180820048474792,0.5991814990755422,0.4754690236720558,-0.1135109136898298,0.07006283854935189,0.0
10,11,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.15424915560135238,0.2110953120106432,1.1751604612016542,0.20686548040407904,0.13581817946286695,0.015570623122110943,0.0,0.0,0.18926404709637415,0.0,0.0,0.0,0.3681273237545373,0.21238822199920712,0.5833670801842263,0.4720848806557144,-0.063816039726168,0.08195497034689862,0.0
11,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14376540172289734,0.19794537442475216,1.1480084211931896,0.2681888182653831,0.14836608523003586,0.032190036927881936,0.0,0.0,0.1926552464255156,0.0,0.0,0.0,0.3270483838288895,0.23434656884533545,0.5751106379468348,0.457855413930049,0.004075583341642486,0.09048569063401646,0.0
12,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14888225024552554,0.18094905183918675,1.106360466585,0.3364354793384511,0.16853988032817369,0.0476180684681084,0.0,0.0,0.19091093349312846,0.0,0.0,0.0,0.2890371323410652,0.2390612684117099,0.5677377598789013,0.4341439723957728,0.0492395424231844,0.09601945768746056,0.0
