,Unnamed: 0,month,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin
0,0,1,3,5,7,15,3,1,0,0,1,0,0,2,19,21,15,3,11,5,0
1,1,2,3,1,9,15,24,2,3,0,0,1,2,5,15,11,11,9,9,3,2
2,2,3,7,0,12,21,17,6,3,0,1,5,11,2,14,18,11,2,1,9,8
3,3,4,26,7,45,37,25,3,8,3,6,6,40,3,14,3,18,13,4,30,5
4,4,5,4,3,18,18,11,6,5,4,10,0,18,1,14,5,16,10,3,22,3
5,5,6,7,6,19,18,36,14,8,5,24,1,16,1,25,14,23,13,5,17,2
6,6,7,12,5,32,59,20,9,21,4,35,4,30,4,33,16,39,29,10,35,7
7,7,8,4,1,8,10,11,1,0,0,6,1,5,0,10,9,4,2,0,2,1
8,8,9,10,23,54,48,15,8,8,0,25,1,23,5,16,16,41,15,7,14,8
9,9,10,3,14,4,7,5,4,3,1,9,0,4,0,5,1,5,4,3,7,2
10,10,11,2,11,34,31,27,5,4,2,24,1,15,5,16,7,17,17,4,5,6
11,11,12,10,9,22,18,15,2,3,1,13,1,20,1,11,3,9,5,2,8,18
